algorithm,inputType,n,ms,trial
merge,reversed,6000,0.147119,5
quick,reversed,6000,7.433430,5
selection,nearlySorted,6000,6.301055,1
merge,nearlySorted,6000,0.139625,1
quick,nearlySorted,6000,0.533846,1
selection,nearlySorted,6000,6.314702,2
merge,nearlySorted,6000,0.140042,2
quick,nearlySorted,6000,0.524907,2
selection,nearlySorted,6000,6.304884,3
merge,nearlySorted,6000,0.139307,3
quick,nearlySorted,6000,0.529433,3
selection,nearlySorted,6000,6.305124,4
merge,nearlySorted,6000,0.140558,4
quick,nearlySorted,6000,0.527630,4
selection,nearlySorted,6000,6.307888,5
merge,nearlySorted,6000,0.139638,5
quick,nearlySorted,6000,0.525622,5
selection,random,9000,14.642258,1
merge,random,9000,0.664705,1
quick,random,9000,0.499876,1
selection,random,9000,14.770465,2
merge,random,9000,0.666477,2
quick,random,9000,0.507778,2
selection,random,9000,14.711667,3
merge,random,9000,0.662238,3
quick,random,9000,0.505159,3
selection,random,9000,14.697490,4
merge,random,9000,0.664055,4
quick,random,9000,0.498521,4
selection,random,9000,14.655347,5
merge,random,9000,0.668204,5
quick,random,9000,0.506599,5
selection,sorted,9000,14.144412,1
merge,sorted,9000,0.167360,1
quick,sorted,9000,23.012748,1
selection,sorted,9000,14.215710,2
merge,sorted,9000,0.167963,2
quick,sorted,9000,23.084899,2
selection,sorted,9000,14.331391,3
merge,sorted,9000,0.167279,3
quick,sorted,9000,23.217874,3
selection,sorted,9000,14.150947,4
merge,sorted,9000,0.168552,4
quick,sorted,9000,23.064279,4
selection,sorted,9000,14.249928,5
merge,sorted,9000,0.167862,5
quick,sorted,9000,22.890880,5
selection,reversed,9000,15.640359,1
merge,reversed,9000,0.224907,1
quick,reversed,9000,16.641349,1
selection,reversed,9000,15.760486,2
merge,reversed,9000,0.227999,2
quick,reversed,9000,16.586475,2
selection,reversed,9000,15.632011,3
merge,reversed,9000,0.226746,3
quick,reversed,9000,16.465670,3
selection,reversed,9000,15.568316,4
merge,reversed,9000,0.227811,4
quick,reversed,9000,16.512175,4
selection,reversed,9000,15.648606,5
merge,reversed,9000,0.228407,5
quick,reversed,9000,16.615149,5
selection,nearlySorted,9000,14.278912,1
merge,nearlySorted,9000,0.216048,1
quick,nearlySorted,9000,0.507511,1
selection,nearlySorted,9000,14.342261,2
merge,nearlySorted,9000,0.215637,2
quick,nearlySorted,9000,0.509855,2
selection,nearlySorted,9000,14.143654,3
merge,nearlySorted,9000,0.359413,3
quick,nearlySorted,9000,0.512040,3
selection,nearlySorted,9000,14.151226,4
merge,nearlySorted,9000,0.216443,4
quick,nearlySorted,9000,0.511018,4
selection,nearlySorted,9000,14.209242,5
merge,nearlySorted,9000,0.214484,5
quick,nearlySorted,9000,0.513345,5
selection,random,12000,25.909361,1
merge,random,12000,0.917039,1
quick,random,12000,0.693012,1
selection,random,12000,25.919293,2
merge,random,12000,0.919039,2
quick,random,12000,0.697242,2
selection,random,12000,26.158832,3
merge,random,12000,0.916036,3
quick,random,12000,0.703730,3
selection,random,12000,25.951729,4
merge,random,12000,0.918704,4
quick,random,12000,0.695301,4
selection,random,12000,25.833993,5
merge,random,12000,0.924264,5
quick,random,12000,0.704312,5
selection,sorted,12000,25.307845,1
merge,sorted,12000,0.228456,1
quick,sorted,12000,40.908190,1
selection,sorted,12000,25.297649,2
merge,sorted,12000,0.227478,2
quick,sorted,12000,40.922791,2
selection,sorted,12000,25.296738,3
merge,sorted,12000,0.227495,3
quick,sorted,12000,40.659960,3
selection,sorted,12000,25.540808,4
merge,sorted,12000,0.227819,4
quick,sorted,12000,41.204959,4
selection,sorted,12000,25.447681,5
merge,sorted,12000,0.227114,5
quick,sorted,12000,41.218588,5
selection,reversed,12000,28.530218,1
merge,reversed,12000,0.315423,1
quick,reversed,12000,29.396163,1
selection,reversed,12000,28.617089,2
merge,reversed,12000,0.309804,2
quick,reversed,12000,29.337766,2
selection,reversed,12000,28.565820,3
merge,reversed,12000,0.312212,3
quick,reversed,12000,29.355421,3
selection,reversed,12000,28.617250,4
merge,reversed,12000,0.311593,4
quick,reversed,12000,29.396983,4
selection,reversed,12000,28.720012,5
merge,reversed,12000,0.313381,5
quick,reversed,12000,29.428813,5
selection,nearlySorted,12000,25.154552,1
merge,nearlySorted,12000,0.293047,1
quick,nearlySorted,12000,2.449335,1
selection,nearlySorted,12000,25.380000,2
merge,nearlySorted,12000,0.289350,2
quick,nearlySorted,12000,2.317675,2
selection,nearlySorted,12000,25.403508,3
merge,nearlySorted,12000,0.288995,3
quick,nearlySorted,12000,2.345508,3
selection,nearlySorted,12000,25.211121,4
merge,nearlySorted,12000,0.293211,4
quick,nearlySorted,12000,2.331323,4
selection,nearlySorted,12000,25.582422,5
merge,nearlySorted,12000,0.289504,5
quick,nearlySorted,12000,2.361967,5
selection,random,15000,40.324209,1
merge,random,15000,1.162524,1
quick,random,15000,0.866588,1
selection,random,15000,40.135028,2
merge,random,15000,1.162324,2
quick,random,15000,0.862497,2
selection,random,15000,40.222647,3
merge,random,15000,1.169035,3
quick,random,15000,0.855998,3
